Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
14115.0,Porphyry,Cenozoic,volcanic,19.0777777778,-102.031388889,33.400000000000006,volcanic,resolved,Macrostrat_original
14297.0,Magmatic sulfide,Precambrian,felsic,46.6511111111,-81.3777777778,1840.0,felsic,resolved,Macrostrat_original
14351.0,Sediment-Hosted,Precambrian,other,-11.513835,27.440574,900.0,other,other,Macrostrat_original
14413.0,VMS,Paleozoic,carbonate,67.132777777778,16.077222222222,464.5,carbonate,resolved,Macrostrat_original
14738.0,Sediment-Hosted,Paleozoic,other,-11.0163888889,25.2261111111,381.0,other,other,Macrostrat_original
14752.0,VMS,Paleozoic,carbonate,37.573056,-7.970833,370.0,carbonate,resolved,Macrostrat_original
14853.0,VMS,Paleozoic,mafic,49.5980555556,-55.9411111111,500.0,mafic,resolved,Macrostrat_original
15187.0,Porphyry,Precambrian,volcanic,22.0166666667,80.7166666667,2468.5,volcanic,resolved,Macrostrat_original
15213.0,Porphyry,Cenozoic,carbonate,6.0270953261096,116.65560699783,7.0,carbonate,resolved,Macrostrat_original
15217.0,Sediment-Hosted,Precambrian,volcanic,-16.8794444444,30.15,1250.0,volcanic,resolved,Macrostrat_original
15806.0,VMS,Precambrian,mafic,49.8738888889,-90.9708333333,2735.0,mafic,resolved,Macrostrat_original
15930.0,Magmatic sulfide,Unknown,volcanic,62.0086,32.6768,,volcanic,resolved,Macrostrat_original
15963.0,Porphyry,Precambrian,mafic,48.5225,-81.1163888889,2475.0,mafic,resolved,Macrostrat_original
15998.0,Sediment-Hosted,Paleozoic,volcanic,-12.083470845877,26.426579394645,510.0,volcanic,resolved,Macrostrat_original
16033.0,Porphyry,Mesozoic,metamorphic,42.601169444444,24.187177777778,90.685,metamorphic,resolved,Macrostrat_original
16144.0,Sediment-Hosted,Precambrian,volcanic,-12.513055555556,27.854166666667,900.0,volcanic,resolved,Macrostrat_original
16242.0,Porphyry,Unknown,felsic,47.51152,-121.3498,,felsic,resolved,Macrostrat_original
16397.0,Magmatic sulfide,Unknown,felsic,47.7083333333,-91.9416666667,,felsic,resolved,Macrostrat_original
16404.0,Sediment-Hosted,Precambrian,volcanic,-16.933055555556,30.15,2118.0,volcanic,resolved,Macrostrat_original
16510.0,Porphyry,Cenozoic,other,22.123619596776,95.03357505746,16.0,other,other,Macrostrat_original
16722.0,Magmatic sulfide,Precambrian,mafic,46.5177777778,-81.0588888889,1785.0,mafic,resolved,Macrostrat_original
16723.0,VMS,Paleozoic,mafic,47.5252777778,-66.4316666667,445.0,mafic,resolved,Macrostrat_original
16762.0,VMS,Paleozoic,volcanic,-31.25874246,146.8696319,510.0,volcanic,resolved,Macrostrat_original
17046.0,IOCG,Paleozoic,other,19.2366666667,109.043333333,525.0,other,other,Macrostrat_original
17053.0,Sediment-Hosted,Precambrian,volcanic,-13.4608742,24.9932957,900.0,volcanic,resolved,Macrostrat_original
17055.0,VMS,Precambrian,felsic,65.230748903939,18.88184022886,1950.0,felsic,resolved,Macrostrat_original
17154.0,Sediment-Hosted,Unknown,metamorphic,-22.978311,17.077479,,metamorphic,resolved,Macrostrat_original
17175.0,Porphyry,Cenozoic,other,-5.2080348283979,141.13899815844,1.15,other,other,Macrostrat_original
17373.0,VMS,Paleozoic,other,33.5138888889,132.655555556,360.0,other,other,Macrostrat_original
17460.0,VMS,Precambrian,felsic,54.962555555556,-99.728194444444,1800.0,felsic,resolved,Macrostrat_original
17539.0,VMS,Mesozoic,other,15.55,-89.7166666667,100.0,other,other,Macrostrat_original
17692.0,VMS,Paleozoic,felsic,-35.062222222222,149.57027777778,430.0,felsic,resolved,Macrostrat_original
17816.0,Porphyry,Cenozoic,felsic,48.1975,-120.978888889,21.0,felsic,resolved,Macrostrat_original
18255.0,Porphyry,Unknown,felsic,47.4966666667,-121.36,,felsic,resolved,Macrostrat_original
18270.0,Porphyry,Cenozoic,volcanic,48.0086111111,-121.503611111,28.0,volcanic,resolved,Macrostrat_original
18379.0,Magmatic sulfide,Precambrian,volcanic,-21.9469444444,27.8552777778,2600.0,volcanic,resolved,Macrostrat_original
18441.0,Porphyry,Mesozoic,felsic,30.3333333333,-109.633333333,92.5,felsic,resolved,Macrostrat_original
18571.0,VMS,Precambrian,felsic,64.8256136963,20.2283273935,1520.5,felsic,resolved,Macrostrat_original
18578.0,VMS,Precambrian,felsic,65.375332040886,18.641685962502,1520.5,felsic,resolved,Macrostrat_original
18580.0,VMS,Precambrian,felsic,64.9232070708,20.0928840623,1520.5,felsic,resolved,Macrostrat_original
18581.0,VMS,Precambrian,felsic,64.9391649158,20.0698227881,1520.5,felsic,resolved,Macrostrat_original
18583.0,VMS,Precambrian,felsic,64.922144814,20.2669007776,1950.0,felsic,resolved,Macrostrat_original
18672.0,VMS,Paleozoic,carbonate,48.462462,-3.6091719999999,400.0,carbonate,resolved,Macrostrat_original
18705.0,VMS,Paleozoic,other,51.6333333333,81.75,388.0,other,other,Macrostrat_original
18790.0,VMS,Mesozoic,mafic,35.097000904691,32.890835189352,100.0,mafic,resolved,Macrostrat_original
18837.0,IOCG,Unknown,felsic,63.7583,-116.9167,,felsic,resolved,Macrostrat_original
18839.0,VMS,Precambrian,felsic,-28.408309962785,121.14965749495,2690.0,felsic,resolved,Macrostrat_original
18963.0,Magmatic sulfide,Unknown,metamorphic,-17.06367713504,31.655559539795,,metamorphic,resolved,Macrostrat_original
19036.0,Sediment-Hosted,Precambrian,volcanic,0.20487741679014,30.002605319023,2000.0,volcanic,resolved,Macrostrat_original
19062.0,IOCG,Unknown,carbonate,-20.9522349734,140.980773926,,carbonate,resolved,Macrostrat_original
19089.0,Sediment-Hosted,Precambrian,carbonate,-32.1075,138.77,630.0,carbonate,resolved,Macrostrat_original
19265.0,VMS,Paleozoic,felsic,-41.588229072894,145.71030842773,502.0,felsic,resolved,Macrostrat_original
19429.0,VMS,Paleozoic,other,50.357467942368,83.540028127001,398.0,other,other,Macrostrat_original
19493.0,VMS,Paleozoic,felsic,45.229721069336,-116.66889190674,280.0,felsic,resolved,Macrostrat_original
19949.0,Porphyry,Cenozoic,volcanic,50.9238888889,-121.421111111,61.0,volcanic,resolved,Macrostrat_original
19966.0,VMS,Precambrian,felsic,56.475,-99.6372222222,1800.0,felsic,resolved,Macrostrat_original
19975.0,VMS,Precambrian,other,23.851570017734,40.939985211657,800.0,other,other,Macrostrat_original
20111.0,Sediment-Hosted,Precambrian,other,-10.677777777778,25.535277777778,900.0,other,other,Macrostrat_original
20202.0,Magmatic sulfide,Unknown,unknown,0.0,0.0,,unknown,unknown,Macrostrat_original
20269.0,VMS,Paleozoic,other,48.291666666667,86.333333333333,371.0,other,other,Macrostrat_original
21099.0,Porphyry,Mesozoic,felsic,39.04741,-119.2407,161.0,felsic,resolved,Macrostrat_original
21132.0,Magmatic sulfide,Unknown,metamorphic,41.1666666667,117.383333333,,metamorphic,resolved,Macrostrat_original
21217.0,Magmatic sulfide,Precambrian,unknown,0.0,0.0,1086.5,unknown,unknown,Macrostrat_original
21221.0,Magmatic sulfide,Precambrian,unknown,0.0,0.0,1500.0,unknown,unknown,Macrostrat_original
21538.0,Porphyry,Cenozoic,other,16.2627777778,120.6225,1.25,other,other,Macrostrat_original
21589.0,Porphyry,Cenozoic,felsic,29.945,55.8619444444,12.25,felsic,resolved,Macrostrat_original
21603.0,VMS,Paleozoic,other,33.9038888889,133.541666667,360.0,other,other,Macrostrat_original
21605.0,VMS,Precambrian,volcanic,54.719166666667,-101.82527777778,1800.0,volcanic,resolved,Macrostrat_original
21638.0,Magmatic sulfide,Precambrian,volcanic,-19.776944444444,29.365833333333,2705.0,volcanic,resolved,Macrostrat_original
21755.0,VMS,Mesozoic,volcanic,41.041111111111,40.76,83.0,volcanic,resolved,Macrostrat_original
