Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,glim_level1_code,glim_level1_description,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_mapping_rationale,glim_match_method,glim_match_count,glim_overlap_ambiguous,lithology_B_source
8831.0,Porphyry,Cenozoic,-6.31513109142,155.495322227,3.4,pi,Intermediate plutonic rocks,other,other,low,Intermediate plutonic not forced into felsic or mafic,exact_point_in_polygon,1,False,GLiM_full_polygon
8859.0,Porphyry,Mesozoic,49.879444444444,-120.00638888889,143.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8875.0,VMS,Mesozoic,49.61,-123.141666667,105.5,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8886.0,Porphyry,Cenozoic,-33.149265422398,-70.280914306641,4.9535,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8905.0,VMS,Paleozoic,47.4083333333,-65.8225,445.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8906.0,VMS,Paleozoic,47.4788888889,-65.8922222222,445.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8945.0,VMS,Paleozoic,48.8230555556,-56.8661111111,452.0,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9014.0,VMS,Paleozoic,50.1975,82.4347222222,398.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9386.0,Magmatic sulfide,Mesozoic,61.4652777778,-139.5275,232.0,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9496.0,VMS,Precambrian,64.871667,20.362968,1520.5,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9552.0,VMS,Mesozoic,38.2294444444,-120.881944444,170.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9592.0,VMS,Paleozoic,-35.5915697261,149.442210503,431.5,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
9697.0,VMS,Precambrian,64.058,24.79,1880.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
9702.0,VMS,Precambrian,64.4138888889,25.1422222222,1520.5,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9706.0,Porphyry,Cenozoic,40.4722222222,23.7036111111,19.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
9736.0,Sediment-Hosted,Precambrian,-12.648545714661,28.040627977094,900.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
9743.0,VMS,Mesozoic,24.41869265,56.40773624,100.0,sc,Carbonate sedimentary rocks,carbonate,resolved,high,Carbonate sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9786.0,IOCG,Precambrian,19.75,-14.3833333333,2492.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
9832.0,VMS,Precambrian,48.3061111111,-79.0672222222,3250.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
9905.0,Porphyry,Cenozoic,47.899009728278,20.089933276176,35.3,py,Pyroclastics,volcanic,resolved,medium,Pyroclastic surface unit,exact_point_in_polygon,1,False,GLiM_full_polygon
10049.0,Sediment-Hosted,Unknown,-12.82324,28.07512,,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
10058.0,VMS,Precambrian,54.8333333333,-100.283333333,1800.0,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10277.0,VMS,Paleozoic,0.0,0.0,340.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
10328.0,Magmatic sulfide,Precambrian,46.476256349528,-81.06023639679,1785.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
10351.0,VMS,Precambrian,54.6513888889,-102.331388889,1520.5,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10383.0,Magmatic sulfide,Precambrian,46.462280137519,-81.186388528286,1785.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10452.0,VMS,Precambrian,54.722092157646,-101.70988082886,1907.5,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10591.0,Porphyry,Precambrian,67.0725,20.9575,935.85,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10617.0,VMS,Precambrian,67.785476874728,20.078332900302,1930.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
10618.0,VMS,Precambrian,67.8776890181,20.1402924561,2200.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
10663.0,VMS,Precambrian,64.8467083298,20.2762852907,1520.5,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
10687.0,VMS,Paleozoic,47.4297222222,-66.4016666667,445.0,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10790.0,Sediment-Hosted,Paleozoic,45.9369444444,-64.4769444444,300.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10867.0,VMS,Precambrian,48.0727777778,-77.7133333333,2715.0,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10915.0,VMS,Precambrian,65.141854,19.157208,1950.0,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
10917.0,VMS,Precambrian,65.09996,19.102939,1520.5,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
10918.0,VMS,Precambrian,65.089900871547,14.45798134795,1950.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
11127.0,Magmatic sulfide,Precambrian,46.58,-80.795,1780.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
11182.0,VMS,Precambrian,54.763888888889,-101.88361111111,1800.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
11307.0,Porphyry,Paleozoic,48.9705555556,-65.5202777778,348.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
11434.0,VMS,Unknown,0.0,0.0,,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
11459.0,Porphyry,Unknown,34.4822222222,-111.856944444,,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
11508.0,VMS,Precambrian,0.0,0.0,770.5,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
11605.0,VMS,Paleozoic,31.364692687987,-8.0559644848108,350.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,2,False,GLiM_full_polygon
11726.0,IOCG,Precambrian,-30.44,136.872777778,1070.5,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
11734.0,VMS,Cenozoic,40.1669444444,140.832777778,14.15,py,Pyroclastics,volcanic,resolved,medium,Pyroclastic surface unit,exact_point_in_polygon,1,False,GLiM_full_polygon
