Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
Porphyry,,79,182,43.40659340659341,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,other,,
Porphyry,,102,182,56.043956043956044,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,resolved,,
Porphyry,,1,182,0.5494505494505495,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,unknown,,
Porphyry,,9,65,13.846153846153847,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,other,,
Porphyry,,53,65,81.53846153846153,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,resolved,,
Porphyry,,3,65,4.615384615384615,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,unknown,,
Porphyry,,48,171,28.07017543859649,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,other,,
Porphyry,,122,171,71.34502923976608,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,resolved,,
Porphyry,,1,171,0.5847953216374269,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,unknown,,
Porphyry,,19,52,36.53846153846154,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,other,,
Porphyry,,33,52,63.46153846153846,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,resolved,,
Porphyry,,31,122,25.40983606557377,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,other,,
Porphyry,,91,122,74.59016393442623,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,resolved,,
Sediment-Hosted,,1,53,1.8867924528301887,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,other,,
Sediment-Hosted,,52,53,98.11320754716981,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,resolved,,
Sediment-Hosted,,11,23,47.82608695652174,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,other,,
Sediment-Hosted,,12,23,52.17391304347826,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,resolved,,
Sediment-Hosted,,5,11,45.45454545454545,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,other,,
Sediment-Hosted,,5,11,45.45454545454545,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,resolved,,
Sediment-Hosted,,1,11,9.090909090909092,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,unknown,,
Sediment-Hosted,,6,27,22.22222222222222,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,other,,
Sediment-Hosted,,21,27,77.77777777777777,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,resolved,,
