Mindat_id,Deposit_type,age_category,litho_class,Latitude_stage0,Longitude_stage0,age_midpoint_ma,Deposit_name,Country,Latitude_main,Longitude_main,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,Latitude,Longitude,coordinate_valid,Country_clean,continent_country,Macrostrat_lithology_status,GLiM_lithology_status,age_status,coordinate_status,Macrostrat_nonresolved,GLiM_nonresolved,age_unknown,coordinate_missing
8875,VMS,Mesozoic,volcanic,49.61,-123.141666667,105.5,Britannia,Canada,49.61,-123.141666667,volcanic,resolved,other,other,49.61,-123.141666667,True,Canada,North America,resolved,other,resolved,valid,False,True,False,False
8886,Porphyry,Cenozoic,volcanic,-33.149265422398,-70.280914306641,4.9535,Los  Bronces/Rio  Blanco,Chile,-33.149265422398,-70.280914306641,volcanic,resolved,felsic,resolved,-33.149265422398,-70.280914306641,True,Chile,South America,resolved,resolved,resolved,valid,False,False,False,False
8905,VMS,Paleozoic,volcanic,47.4083333333,-65.8225,445.0,Brunswick No. 6,Canada,47.4083333333,-65.8225,volcanic,resolved,siliciclastic,resolved,47.4083333333,-65.8225,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
8906,VMS,Paleozoic,other,47.4788888889,-65.8922222222,445.0,Brunswick No. 12,Canada,47.4788888889,-65.8922222222,other,other,siliciclastic,resolved,47.4788888889,-65.8922222222,True,Canada,North America,other,resolved,resolved,valid,True,False,False,False
8945,VMS,Paleozoic,mafic,48.8230555556,-56.8661111111,452.0,Lucky Strike,Canada,48.8230555556,-56.8661111111,mafic,resolved,volcanic,resolved,48.8230555556,-56.8661111111,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
9014,VMS,Paleozoic,other,50.1975,82.4347222222,398.0,Belousovskoe,Kazakhstan,50.1975,82.4347222222,other,other,volcanic,resolved,50.1975,82.4347222222,True,Kazakhstan,Asia,other,resolved,resolved,valid,True,False,False,False
9386,Magmatic sulfide,Mesozoic,volcanic,61.4652777778,-139.5275,232.0,Wellgreen,Canada,61.4652777778,-139.5275,volcanic,resolved,mafic,resolved,61.4652777778,-139.5275,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
9496,VMS,Precambrian,felsic,64.871667,20.362968,1520.5,Boliden,Sweden,64.871667,20.362968,felsic,resolved,volcanic,resolved,64.871667,20.362968,True,Sweden,Europe,resolved,resolved,resolved,valid,False,False,False,False
9552,VMS,Mesozoic,carbonate,38.2294444444,-120.881944444,170.0,Penn,USA,38.2294444444,-120.881944444,carbonate,resolved,siliciclastic,resolved,38.2294444444,-120.881944444,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
9592,VMS,Paleozoic,volcanic,-35.5915697261,149.442210503,431.5,Captain's Flat,Australia,-35.5915697261,149.442210503,volcanic,resolved,other,other,-35.5915697261,149.442210503,True,Australia,Oceania,resolved,other,resolved,valid,False,True,False,False
9697,VMS,Precambrian,siliciclastic,64.058,24.79,1880.0,Rauhala,Finland,64.058,24.79,siliciclastic,resolved,metamorphic,resolved,64.058,24.79,True,Finland,Europe,resolved,resolved,resolved,valid,False,False,False,False
