Deposit_type,age_category,Latitude,Longitude,Mindat_id,mapped_species_count,present_family_count
Porphyry,Cenozoic,-21.9205555556,-68.8325,39275,29,19.0
Sediment-Hosted,Paleozoic,-11.1688888889,27.0091666667,41271,21,10.0
Sediment-Hosted,Precambrian,-10.9525,26.7722222222,41272,3,3.0
Sediment-Hosted,Precambrian,-10.8466666667,26.4783333333,41275,12,9.0
Sediment-Hosted,Unknown,31.169445037842,-104.90000152588,42054,18,13.0
Sediment-Hosted,Unknown,31.224445343018,-104.90528106689,42058,11,9.0
Sediment-Hosted,Precambrian,-10.728248534883,26.381352481256,42400,14,7.0
IOCG,Cenozoic,-31.4277777778,140.468611111,43252,25,19.0
Porphyry,Cenozoic,-8.9656674438947,116.86724497085,43582,42,22.0
Porphyry,Unknown,-0.5,113.183333333,43585,9,9.0
Porphyry,Mesozoic,34.5811111111,-113.203888889,43642,80,31.0
Sediment-Hosted,Precambrian,-10.719444444444,25.402777777778,44003,54,16.0
VMS,Precambrian,34.4558333333,-112.193888889,44061,19,13.0
Porphyry,Mesozoic,32.96821,-107.5417,44124,25,19.0
VMS,Paleozoic,-23.300852777778,150.65216944444,44460,17,12.0
VMS,Precambrian,34.545,-113.230277778,44769,21,17.0
Sediment-Hosted,Precambrian,47.48157,-115.72882,45680,13,10.0
Sediment-Hosted,Unknown,47.49017,-115.76322,45788,5,5.0
Sediment-Hosted,Unknown,47.499249132,-115.75112466,45790,7,6.0
VMS,Precambrian,64.958201522173,19.837623594794,45920,5,4.0
VMS,Unknown,67.14302,16.034353,46287,6,6.0
VMS,Paleozoic,62.15085,10.087722,46329,19,16.0
VMS,Paleozoic,62.139762175078,9.9936747550964,46331,35,21.0
VMS,Precambrian,65.006890719953,19.613289356057,46414,8,7.0
VMS,Paleozoic,38.034842007676,-8.4232566983213,46421,43,22.0
VMS,Paleozoic,38.281718,-7.729614,46745,13,10.0
VMS,Unknown,34.4555555556,-112.192777778,46971,35,18.0
IOCG,Unknown,41.859761,78.195299,46972,28,16.0
Porphyry,Paleozoic,42.66526992821,75.579408637148,47606,20,17.0
VMS,Paleozoic,69.736273,21.591482,47837,14,11.0
Magmatic sulfide,Precambrian,61.6805555556,-73.6833333333,47950,23,11.0
VMS,Precambrian,35.759107943126,-105.66824490989,48271,12,9.0
VMS,Paleozoic,62.795424,11.473154,48424,13,11.0
Magmatic sulfide,Unknown,33.25,106.366666667,48983,45,17.0
VMS,Precambrian,34.500831604004,-112.25666809082,50665,17,14.0
Porphyry,Mesozoic,32.67,-110.67,50863,31,20.0
Porphyry,Mesozoic,32.5230555556,-111.901944444,51058,29,19.0
Magmatic sulfide,Precambrian,38.4666666667,102.166666667,52166,83,22.0
Porphyry,Cenozoic,33.061157395057,-111.40899089207,52775,23,17.0
Porphyry,Cenozoic,32.954448464616,-111.81661605835,53487,26,16.0
VMS,Cenozoic,38.1527777778,140.197222222,53669,7,7.0
Porphyry,Cenozoic,-22.85357,-69.34511,54260,10,5.0
Porphyry,Cenozoic,43.0927777778,-111.322777778,54489,14,10.0
Porphyry,Cenozoic,-17.0455555556,-70.7072222222,55427,33,18.0
Porphyry,Unknown,-16.5352777778,-71.5916666667,55597,31,18.0
Sediment-Hosted,Paleozoic,48.26667,67.3333,55929,6,5.0
IOCG,Precambrian,-25.2567587597,28.580646074,56211,70,26.0
VMS,Paleozoic,33.9333333333,133.633333333,56379,4,3.0
Magmatic sulfide,Unknown,-23.987938588912,28.904128281476,56760,36,12.0
VMS,Unknown,48.293,-2.933,56940,12,11.0
Porphyry,Cenozoic,-18.0416666667,178.175,58352,33,20.0
VMS,Paleozoic,40.5422222222,-117.556944444,58783,22,15.0
Porphyry,Cenozoic,40.6875,-117.083333333,59571,10,9.0
VMS,Mesozoic,-0.39,-78.925,60100,17,13.0
VMS,Mesozoic,-0.925533,-79.061604,60101,11,9.0
Porphyry,Cenozoic,40.548538,-117.13252,60113,53,27.0
Porphyry,Mesozoic,40.6119444444,-117.036111111,60164,31,19.0
Porphyry,Cenozoic,41.5105555556,22.6019444444,62248,54,24.0
Porphyry,Unknown,33.0666666667,-110.796111111,62514,15,11.0
Porphyry,Mesozoic,35.4833333333,-115.133333333,63180,9,7.0
Porphyry,Unknown,33.535833,54.544444,63563,32,19.0
VMS,Precambrian,42.016666666667,124.51527777778,64183,44,26.0
Porphyry,Mesozoic,29.681789169728,115.80344526855,64292,45,23.0
Porphyry,Unknown,39.03,-119.18,64347,11,9.0
VMS,Mesozoic,41.416934906985,44.542694091797,64578,7,7.0
Porphyry,Cenozoic,29.9997222222,114.837777778,64759,34,18.0
Sediment-Hosted,Cenozoic,-17.68,-68.37,65223,13,10.0
VMS,Precambrian,60.229,23.539,65283,23,14.0
IOCG,Precambrian,-20.739163888889,140.65382222222,65285,30,19.0
VMS,Precambrian,34.50232,-83.9593,66858,18,12.0
VMS,Precambrian,33.75774,-84.93281,66898,4,3.0
Sediment-Hosted,Precambrian,62.691902777778,-126.665375,68115,16,9.0
VMS,Paleozoic,-20.7303225905,140.420393451,68188,11,9.0
Porphyry,Cenozoic,46.314033189009,23.169895112514,68257,43,25.0
Porphyry,Unknown,32.5891666667,-112.053888889,68700,15,13.0
Porphyry,Cenozoic,9.8035347634699,122.45720684612,69552,15,12.0
Sediment-Hosted,Precambrian,30.0944444444,-8.35,71511,3,2.0
VMS,Cenozoic,42.475,141.05,73136,3,3.0
VMS,Cenozoic,40.7291666667,140.958333333,73233,51,22.0
VMS,Mesozoic,19.036683507473,-100.22958260237,73255,26,17.0
VMS,Mesozoic,37.9763888889,-120.642777778,75449,3,3.0
VMS,Mesozoic,37.6013888889,-120.315833333,81928,7,7.0
VMS,Mesozoic,39.1155555556,-121.270555556,84746,7,4.0
VMS,Mesozoic,39.0308333333,-121.288055556,85223,3,3.0
Porphyry,Mesozoic,40.2166666667,-120.783333333,86332,34,18.0
VMS,Paleozoic,40.7252777778,-122.498055556,92443,13,12.0
VMS,Paleozoic,40.7991666667,-122.202777778,92495,16,11.0
VMS,Mesozoic,41.95,-123.1,93923,10,9.0
VMS,Mesozoic,39.175,-121.291666667,98618,4,4.0
Sediment-Hosted,Mesozoic,32.75,-0.583333333333,105775,3,3.0
Porphyry,Cenozoic,46.0108333333,-112.48,107252,37,20.0
VMS,Cenozoic,35.1644444444,132.441666667,108163,34,18.0
Porphyry,Cenozoic,-20.0447222222,-69.2597222222,108197,24,14.0
VMS,Precambrian,-28.7780555556,116.962777778,109677,28,16.0
VMS,Precambrian,-27.046141130114,117.71221058717,109688,9,8.0
Porphyry,Mesozoic,37.4063888889,-108.088333333,114858,24,18.0
