Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
Sediment-Hosted,Precambrian,0.20487741679014,30.002605319023,2000.0,19036,volcanic,volcanic,evaporite,other
IOCG,Unknown,-20.9522349734,140.980773926,,19062,carbonate,carbonate,other,other
Sediment-Hosted,Precambrian,-32.1075,138.77,630.0,19089,carbonate,carbonate,other,other
VMS,Paleozoic,-41.588229072894,145.71030842773,502.0,19265,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,50.357467942368,83.540028127001,398.0,19429,other,other,volcanic,volcanic
VMS,Paleozoic,45.229721069336,-116.66889190674,280.0,19493,felsic,felsic,metamorphic,metamorphic
Porphyry,Cenozoic,50.9238888889,-121.421111111,61.0,19949,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,56.475,-99.6372222222,1800.0,19966,felsic,felsic,felsic,felsic
VMS,Precambrian,23.851570017734,40.939985211657,800.0,19975,other,other,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-10.677777777778,25.535277777778,900.0,20111,other,other,metamorphic,metamorphic
VMS,Paleozoic,48.291666666667,86.333333333333,371.0,20269,other,other,carbonate,carbonate
Porphyry,Mesozoic,39.04741,-119.2407,161.0,21099,felsic,felsic,felsic,felsic
Magmatic sulfide,Unknown,41.1666666667,117.383333333,,21132,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Cenozoic,16.2627777778,120.6225,1.25,21538,other,other,other,other
Porphyry,Cenozoic,29.945,55.8619444444,12.25,21589,felsic,felsic,other,other
VMS,Paleozoic,33.9038888889,133.541666667,360.0,21603,other,other,metamorphic,metamorphic
VMS,Precambrian,54.719166666667,-101.82527777778,1800.0,21605,volcanic,volcanic,volcanic,volcanic
Magmatic sulfide,Precambrian,-19.776944444444,29.365833333333,2705.0,21638,volcanic,volcanic,metamorphic,metamorphic
VMS,Mesozoic,41.041111111111,40.76,83.0,21755,volcanic,volcanic,volcanic,volcanic
Magmatic sulfide,Unknown,22.75,33.6,,22091,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Mesozoic,48.9947222222,-119.477777778,173.55,22183,felsic,felsic,felsic,felsic
Porphyry,Mesozoic,48.6144444444,-120.381944444,88.5,22204,felsic,felsic,volcanic,volcanic
Sediment-Hosted,Mesozoic,38.3108333333,-108.948888889,220.0,22531,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Sediment-Hosted,Unknown,34.5166666667,-99.55,,22701,other,other,other,other
Porphyry,Cenozoic,31.8708333333,-111.133333333,62.5,22945,volcanic,volcanic,siliciclastic,siliciclastic
VMS,Mesozoic,-54.829694444444,-68.395836111111,170.0,22987,metamorphic,metamorphic,other,other
VMS,Paleozoic,64.626159,13.102498,470.0,23128,metamorphic,metamorphic,metamorphic,metamorphic
VMS,Paleozoic,37.638611111111,-6.8569444444444,320.0,23197,volcanic,volcanic,volcanic,volcanic
Porphyry,Cenozoic,-29.0,-67.75,4.4,23362,other,other,other,other
VMS,Precambrian,54.856080555556,-99.941711111111,1800.0,23365,mafic,mafic,volcanic,volcanic
VMS,Mesozoic,41.36028851,44.44438468,86.0,23547,carbonate,carbonate,volcanic,volcanic
Sediment-Hosted,Unknown,-12.5419553,27.8545867,,24511,volcanic,volcanic,metamorphic,metamorphic
IOCG,Precambrian,-6.0325,-50.566388888889,2614.0,24995,felsic,felsic,metamorphic,metamorphic
Porphyry,Mesozoic,42.546944444444,24.135833333333,90.525,25120,felsic,felsic,volcanic,volcanic
Porphyry,Mesozoic,42.75,24.0333333333,84.1,25121,felsic,felsic,carbonate,carbonate
Sediment-Hosted,Unknown,29.75589558947,34.989183355439,,25286,carbonate,carbonate,other,other
Sediment-Hosted,Paleozoic,34.81733,-97.24153,260.0,25293,siliciclastic,siliciclastic,siliciclastic,siliciclastic
VMS,Precambrian,65.65,-112.816666667,2730.0,25303,mafic,mafic,metamorphic,metamorphic
Porphyry,Cenozoic,-17.245252375894,-70.613077242235,57.0,25368,other,other,volcanic,volcanic
Porphyry,Unknown,28.6322317118,-109.623084381,,25444,siliciclastic,siliciclastic,other,other
Porphyry,Cenozoic,8.5,-81.7833333333,5.0,25581,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,22.89167,-83.24444,122.5,25611,other,other,carbonate,carbonate
VMS,Mesozoic,22.066666666667,-80.116666666667,145.0,25612,other,other,carbonate,carbonate
VMS,Cenozoic,20.046255874675,-75.944366455078,52.0,25613,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,22.47,-84.13,145.0,25615,other,other,carbonate,carbonate
VMS,Precambrian,45.4708333333,-88.9194444444,1830.0,25693,volcanic,volcanic,metamorphic,metamorphic
Magmatic sulfide,Precambrian,56.33,-62.0952777778,1323.0,25759,other,other,metamorphic,metamorphic
Porphyry,Cenozoic,29.858957075158,-109.95820999146,58.7,25845,felsic,felsic,volcanic,volcanic
Porphyry,Cenozoic,46.3561111111,-122.080555556,19.0,25904,mafic,mafic,volcanic,volcanic
