source,seed,topic,rank,trimmed_family,full_family,same_at_rank
GLiM,42,2,4,Cu_carbonates_silicates,Cu_sulfides_primary,False
GLiM,42,2,5,Cu_sulfides_primary,Cu_carbonates_silicates,False
GLiM,42,2,6,Fe_oxides_hydroxides,Fe_sulfides,False
GLiM,42,2,7,Feldspars,Fe_oxides_hydroxides,False
GLiM,42,2,8,Native_elements_misc,Other_silicates,False
GLiM,42,2,9,Fe_sulfides,Native_elements_misc,False
GLiM,42,2,10,Au_Ag_native,Feldspars,False
GLiM,42,3,1,Fe_sulfides,Fe_sulfides,True
GLiM,42,3,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,42,3,3,Micas_sericite,Micas_sericite,True
GLiM,42,3,4,Fe_oxides_hydroxides,Mo_sulfides,False
GLiM,42,3,5,Mo_sulfides,Fe_oxides_hydroxides,False
GLiM,42,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
GLiM,42,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
GLiM,42,3,8,Zn_sulfides,Zn_sulfides,True
GLiM,42,3,9,Pb_sulfides,Other_silicates,False
GLiM,42,3,10,Other_silicates,Cu_carbonates_silicates,False
GLiM,42,4,1,PGE_alloys_intermetallics,PGE_alloys_intermetallics,True
GLiM,42,4,2,As_Sb_Bi_sulfosalts,As_Sb_Bi_sulfosalts,True
GLiM,42,4,3,Sulfides_misc,Native_elements_misc,False
GLiM,42,4,4,Fe_sulfides,Other_silicates,False
GLiM,42,4,5,Ni_Co_sulfides_arsenides,Fe_sulfides,False
GLiM,42,4,6,Skarn_calc_silicates,Sulfides_misc,False
GLiM,42,4,7,Native_elements_misc,Ni_Co_sulfides_arsenides,False
GLiM,42,4,8,Other_silicates,Cu_sulfides_primary,False
GLiM,42,4,9,Fe_oxides_hydroxides,Oxides_misc,False
GLiM,42,4,10,Cu_sulfides_primary,Fe_oxides_hydroxides,False
GLiM,42,5,1,Cu_sulfides_other,Fe_sulfides,False
GLiM,42,5,2,Skarn_calc_silicates,Cu_sulfides_primary,False
GLiM,42,5,3,As_Sb_Bi_sulfosalts,Cu_sulfides_supergene,False
GLiM,42,5,4,Sulfides_misc,Zn_sulfides,False
GLiM,42,5,5,Cu_sulfides_primary,Carbonates,False
GLiM,42,5,6,Mo_sulfides,Fe_oxides_hydroxides,False
GLiM,42,5,7,Au_Ag_native,Pb_sulfides,False
GLiM,42,5,8,Ni_Co_sulfides_arsenides,Quartz,False
GLiM,42,5,9,Fe_oxides_hydroxides,Skarn_calc_silicates,False
GLiM,42,5,10,Other_silicates,Micas_sericite,False
GLiM,42,6,1,Cu_sulfides_primary,Zn_sulfides,False
GLiM,42,6,2,Pb_sulfides,Cu_sulfides_primary,False
GLiM,42,6,3,Zn_sulfides,Pb_sulfides,False
GLiM,42,6,4,Fe_sulfides,Fe_sulfides,True
GLiM,42,6,5,Barite,Quartz,False
GLiM,42,6,6,Quartz,Barite,False
GLiM,42,6,7,Au_Ag_native,Ni_Co_sulfides_arsenides,False
GLiM,42,6,8,Micas_sericite,Carbonates,False
GLiM,42,6,9,Carbonates,Fe_oxides_hydroxides,False
GLiM,42,6,10,Cu_sulfides_supergene,Au_Ag_native,False
GLiM,42,7,1,Cu_sulfides_primary,Cu_sulfides_other,False
GLiM,42,7,2,Skarn_calc_silicates,Oxides_misc,False
GLiM,42,7,3,Native_elements_misc,Micas_sericite,False
GLiM,42,7,4,Sulfides_misc,Sulfates_other,False
GLiM,42,7,5,Ni_Co_sulfides_arsenides,As_Sb_Bi_sulfosalts,False
GLiM,42,7,6,Fe_sulfides,Ni_Co_sulfides_arsenides,False
GLiM,42,7,7,Mo_sulfides,Sulfides_misc,False
