Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
18705,VMS,Paleozoic,other,other,3,2.0,18705,340,0.9970674486803519,False
187080,Sediment-Hosted,Unknown,other,other,3,3.0,187080,127,0.9202898550724637,False
187092,Sediment-Hosted,Cenozoic,other,carbonate,19,16.0,187092,37,0.26811594202898553,False
187465,Porphyry,Cenozoic,metamorphic,felsic,15,11.0,187465,319,0.5361344537815126,False
18790,VMS,Mesozoic,mafic,felsic,26,12.0,18790,76,0.22287390029325513,False
187984,VMS,Cenozoic,volcanic,unknown,19,13.0,187984,126,0.36950146627565983,False
187986,VMS,Cenozoic,carbonate,siliciclastic,7,7.0,187986,266,0.7800586510263929,False
187989,VMS,Cenozoic,carbonate,siliciclastic,8,7.0,187989,254,0.7448680351906158,False
187990,VMS,Cenozoic,mafic,volcanic,9,8.0,187990,239,0.7008797653958945,False
188053,Porphyry,Cenozoic,other,felsic,56,26.0,188053,19,0.031932773109243695,True
188080,VMS,Cenozoic,volcanic,other,17,13.0,188080,150,0.4398826979472141,False
188137,Sediment-Hosted,Mesozoic,volcanic,volcanic,31,17.0,188137,15,0.10869565217391304,False
18837,IOCG,Unknown,felsic,felsic,26,16.0,18837,32,0.3902439024390244,False
18839,VMS,Precambrian,felsic,volcanic,47,21.0,18839,18,0.05278592375366569,True
188882,Sediment-Hosted,Unknown,other,metamorphic,20,13.0,188882,33,0.2391304347826087,False
189175,Porphyry,Cenozoic,other,siliciclastic,22,16.0,189175,186,0.3126050420168067,False
18963,Magmatic sulfide,Unknown,metamorphic,metamorphic,9,5.0,18963,67,0.8271604938271605,False
19036,Sediment-Hosted,Precambrian,volcanic,other,20,15.0,19036,29,0.21014492753623187,False
190419,VMS,Paleozoic,mafic,volcanic,27,14.0,190419,65,0.1906158357771261,False
190420,VMS,Paleozoic,felsic,carbonate,13,10.0,190420,196,0.5747800586510264,False
19062,IOCG,Unknown,carbonate,other,20,14.0,19062,46,0.5609756097560976,False
190656,Magmatic sulfide,Unknown,volcanic,metamorphic,18,12.0,190656,42,0.5185185185185185,False
190718,IOCG,Precambrian,felsic,metamorphic,33,18.0,190718,20,0.24390243902439024,False
190736,IOCG,Unknown,felsic,volcanic,44,24.0,190736,8,0.0975609756097561,True
19089,Sediment-Hosted,Precambrian,carbonate,other,6,5.0,19089,102,0.7391304347826086,False
191095,Porphyry,Cenozoic,felsic,felsic,14,11.0,191095,341,0.573109243697479,False
191196,IOCG,Unknown,other,other,26,16.0,191196,33,0.4024390243902439,False
191199,Porphyry,Cenozoic,other,volcanic,18,12.0,191199,258,0.4336134453781513,False
191200,Porphyry,Cenozoic,other,siliciclastic,12,9.0,191200,382,0.6420168067226891,False
191789,IOCG,Precambrian,felsic,other,37,22.0,191789,16,0.1951219512195122,False
191790,IOCG,Precambrian,siliciclastic,other,17,11.0,191790,54,0.6585365853658537,False
191823,Porphyry,Precambrian,siliciclastic,other,24,18.0,191823,159,0.2672268907563025,False
191825,IOCG,Unknown,carbonate,other,12,10.0,191825,68,0.8292682926829268,False
191826,IOCG,Unknown,carbonate,other,20,14.0,191826,47,0.573170731707317,False
191827,IOCG,Unknown,carbonate,other,8,7.0,191827,78,0.9512195121951219,False
191828,IOCG,Unknown,siliciclastic,other,13,9.0,191828,66,0.8048780487804879,False
191829,IOCG,Unknown,carbonate,siliciclastic,13,11.0,191829,62,0.7560975609756098,False
191830,IOCG,Unknown,siliciclastic,other,10,8.0,191830,73,0.8902439024390244,False
191851,VMS,Mesozoic,other,other,17,12.0,191851,153,0.44868035190615835,False
191957,Porphyry,Paleozoic,other,carbonate,28,20.0,191957,123,0.20672268907563024,False
191971,Porphyry,Cenozoic,other,other,24,17.0,191971,162,0.2722689075630252,False
191972,Porphyry,Cenozoic,other,carbonate,37,22.0,191972,68,0.11428571428571428,False
