Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
25368,Porphyry,Cenozoic,-17.245252375894,-70.613077242235,57.0,other,other,volcanic,volcanic
25444,Porphyry,Unknown,28.6322317118,-109.623084381,,siliciclastic,siliciclastic,other,other
25581,Porphyry,Cenozoic,8.5,-81.7833333333,5.0,felsic,felsic,volcanic,volcanic
25611,VMS,Mesozoic,22.89167,-83.24444,122.5,other,other,carbonate,carbonate
25612,VMS,Mesozoic,22.066666666667,-80.116666666667,145.0,other,other,carbonate,carbonate
25613,VMS,Cenozoic,20.046255874675,-75.944366455078,52.0,felsic,felsic,volcanic,volcanic
25615,VMS,Mesozoic,22.47,-84.13,145.0,other,other,carbonate,carbonate
25693,VMS,Precambrian,45.4708333333,-88.9194444444,1830.0,volcanic,volcanic,metamorphic,metamorphic
25759,Magmatic sulfide,Precambrian,56.33,-62.0952777778,1323.0,other,other,metamorphic,metamorphic
25845,Porphyry,Cenozoic,29.858957075158,-109.95820999146,58.7,felsic,felsic,volcanic,volcanic
25904,Porphyry,Cenozoic,46.3561111111,-122.080555556,19.0,mafic,mafic,volcanic,volcanic
25940,VMS,Precambrian,48.3597222222,-79.0825,2700.0,volcanic,volcanic,volcanic,volcanic
25949,Porphyry,Mesozoic,44.123348392154,22.114625566226,85.69,felsic,felsic,volcanic,volcanic
25958,Magmatic sulfide,Unknown,-24.775342067169,27.350738258634,,mafic,mafic,mafic,mafic
26138,VMS,Paleozoic,47.3966666667,-66.1297222222,445.0,mafic,mafic,volcanic,volcanic
26155,Porphyry,Mesozoic,49.018733427287,104.12498717579,230.75,volcanic,volcanic,volcanic,volcanic
26201,VMS,Paleozoic,49.6,-56.0075,500.0,mafic,mafic,volcanic,volcanic
26314,Magmatic sulfide,Unknown,-20.332577642886,30.059181153774,,mafic,mafic,metamorphic,metamorphic
26538,IOCG,Unknown,-19.4478422436,133.818891957,,metamorphic,metamorphic,other,other
26686,Porphyry,Unknown,38.98351,-119.19408,,felsic,felsic,felsic,felsic
26702,Sediment-Hosted,Precambrian,-30.1766666667,139.279166667,630.0,felsic,felsic,metamorphic,metamorphic
27056,IOCG,Unknown,22.575,103.8,,mafic,mafic,felsic,felsic
27261,Porphyry,Cenozoic,-4.0560167339,137.113198169,3.15,other,other,metamorphic,metamorphic
27717,VMS,Precambrian,19.983247964966,42.012391984463,1520.5,volcanic,volcanic,metamorphic,metamorphic
27934,VMS,Paleozoic,40.7333333333,-122.083333333,260.0,felsic,felsic,volcanic,volcanic
28042,Sediment-Hosted,Precambrian,-17.3758333333,30.0688888889,2095.5,volcanic,volcanic,metamorphic,metamorphic
28109,VMS,Mesozoic,35.074463,32.843125,105.5,mafic,mafic,felsic,felsic
28110,VMS,Mesozoic,35.1041666667,32.8458333333,100.0,mafic,mafic,felsic,felsic
28152,VMS,Mesozoic,35.036793294095,32.482280733821,100.0,metamorphic,metamorphic,felsic,felsic
28584,VMS,Paleozoic,13.2,124.15,396.5,unknown,unknown,unknown,unknown
28588,Porphyry,Unknown,10.313948183707,123.71268376923,,other,other,other,other
28719,VMS,Paleozoic,34.2475,135.438888889,360.0,other,other,metamorphic,metamorphic
28720,VMS,Paleozoic,34.0288888889,134.322222222,360.0,other,other,metamorphic,metamorphic
28721,VMS,Paleozoic,34.0211111111,134.225,360.0,other,other,metamorphic,metamorphic
28722,VMS,Paleozoic,35.085,137.833333333,360.0,other,other,metamorphic,metamorphic
28723,VMS,Paleozoic,33.8277777778,133.472222222,360.0,other,other,metamorphic,metamorphic
28724,VMS,Paleozoic,36.6291666667,140.605555556,320.0,other,other,other,other
29703,VMS,Precambrian,65.372503014476,18.649008035572,1520.5,felsic,felsic,metamorphic,metamorphic
30621,Sediment-Hosted,Precambrian,34.2718898,69.2937133,770.5,metamorphic,metamorphic,other,other
30976,Porphyry,Cenozoic,29.805,-104.4025,60.2,carbonate,carbonate,siliciclastic,siliciclastic
32000,Porphyry,Cenozoic,32.0275,-111.080555556,56.0,other,other,other,other
32562,Sediment-Hosted,Cenozoic,-19.361370105939,-66.861841680366,45.0,other,other,other,other
32728,VMS,Unknown,67.137472,16.059489,,carbonate,carbonate,metamorphic,metamorphic
32750,IOCG,Unknown,63.548220882342,-116.74073296354,,felsic,felsic,felsic,felsic
32790,VMS,Unknown,59.3572222222,5.23083333333,,volcanic,volcanic,metamorphic,metamorphic
33241,Porphyry,Precambrian,64.9872222222,19.7716666667,1887.5,felsic,felsic,volcanic,volcanic
33954,VMS,Paleozoic,64.853111,13.884918,464.5,metamorphic,metamorphic,metamorphic,metamorphic
34420,VMS,Paleozoic,68.200929,15.991373,431.5,felsic,felsic,felsic,felsic
34428,VMS,Paleozoic,67.095265,16.001146,470.0,carbonate,carbonate,metamorphic,metamorphic
34975,Porphyry,Cenozoic,-27.3297222222,-66.6088888889,7.5,other,other,volcanic,volcanic
35613,VMS,Paleozoic,68.329524898,16.7902514037,464.5,metamorphic,metamorphic,metamorphic,metamorphic
36285,VMS,Unknown,67.132786,16.089266,,carbonate,carbonate,metamorphic,metamorphic
36363,VMS,Paleozoic,62.10968,9.824278,470.0,metamorphic,metamorphic,metamorphic,metamorphic
36818,Porphyry,Mesozoic,-30.241578766321,-71.102801250415,141.9,other,other,other,other
37441,Porphyry,Unknown,35.3674943,-114.1410656,,felsic,felsic,felsic,felsic
39275,Porphyry,Cenozoic,-21.9205555556,-68.8325,36.0,other,other,felsic,felsic
41271,Sediment-Hosted,Paleozoic,-11.1688888889,27.0091666667,436.0,other,other,metamorphic,metamorphic
41272,Sediment-Hosted,Precambrian,-10.9525,26.7722222222,900.0,other,other,metamorphic,metamorphic
41275,Sediment-Hosted,Precambrian,-10.8466666667,26.4783333333,900.0,other,other,metamorphic,metamorphic
42054,Sediment-Hosted,Unknown,31.169445037842,-104.90000152588,,carbonate,carbonate,siliciclastic,siliciclastic
42058,Sediment-Hosted,Unknown,31.224445343018,-104.90528106689,,carbonate,carbonate,siliciclastic,siliciclastic
42400,Sediment-Hosted,Precambrian,-10.728248534883,26.381352481256,900.0,other,other,metamorphic,metamorphic
43252,IOCG,Cenozoic,-31.4277777778,140.468611111,14.05,other,other,other,other
43585,Porphyry,Unknown,-0.5,113.183333333,,other,other,siliciclastic,siliciclastic
44061,VMS,Precambrian,34.4558333333,-112.193888889,1640.0,volcanic,volcanic,metamorphic,metamorphic
44124,Porphyry,Mesozoic,32.96821,-107.5417,75.0,volcanic,volcanic,volcanic,volcanic
44460,VMS,Paleozoic,-23.300852777778,150.65216944444,270.0,mafic,mafic,siliciclastic,siliciclastic
44769,VMS,Precambrian,34.545,-113.230277778,1370.0,volcanic,volcanic,metamorphic,metamorphic
45680,Sediment-Hosted,Precambrian,47.48157,-115.72882,1500.0,siliciclastic,siliciclastic,siliciclastic,siliciclastic
45788,Sediment-Hosted,Unknown,47.49017,-115.76322,,siliciclastic,siliciclastic,siliciclastic,siliciclastic
45790,Sediment-Hosted,Unknown,47.499249132,-115.75112466,,siliciclastic,siliciclastic,siliciclastic,siliciclastic
45920,VMS,Precambrian,64.958201522173,19.837623594794,1520.5,felsic,felsic,volcanic,volcanic
46287,VMS,Unknown,67.14302,16.034353,,carbonate,carbonate,metamorphic,metamorphic
46329,VMS,Paleozoic,62.15085,10.087722,464.5,mafic,mafic,metamorphic,metamorphic
46414,VMS,Precambrian,65.006890719953,19.613289356057,1520.5,felsic,felsic,volcanic,volcanic
46745,VMS,Paleozoic,38.281718,-7.729614,518.0,volcanic,volcanic,metamorphic,metamorphic
46971,VMS,Unknown,34.4555555556,-112.192777778,,volcanic,volcanic,metamorphic,metamorphic
46972,IOCG,Unknown,41.859761,78.195299,,other,other,other,other
47606,Porphyry,Paleozoic,42.66526992821,75.579408637148,424.0,other,other,felsic,felsic
47837,VMS,Paleozoic,69.736273,21.591482,492.5,carbonate,carbonate,metamorphic,metamorphic
47950,Magmatic sulfide,Precambrian,61.6805555556,-73.6833333333,1899.0,mafic,mafic,volcanic,volcanic
48271,VMS,Precambrian,35.759107943126,-105.66824490989,1520.5,volcanic,volcanic,volcanic,volcanic
48424,VMS,Paleozoic,62.795424,11.473154,470.0,metamorphic,metamorphic,other,other
48983,Magmatic sulfide,Unknown,33.25,106.366666667,,other,other,volcanic,volcanic
50665,VMS,Precambrian,34.500831604004,-112.25666809082,1640.0,carbonate,carbonate,siliciclastic,siliciclastic
50863,Porphyry,Mesozoic,32.67,-110.67,68.0,carbonate,carbonate,siliciclastic,siliciclastic
51058,Porphyry,Mesozoic,32.5230555556,-111.901944444,66.0,felsic,felsic,felsic,felsic
52775,Porphyry,Cenozoic,33.061157395057,-111.40899089207,34.74,other,other,other,other
53487,Porphyry,Cenozoic,32.954448464616,-111.81661605835,63.0,felsic,felsic,felsic,felsic
53669,VMS,Cenozoic,38.1527777778,140.197222222,14.15,volcanic,volcanic,volcanic,volcanic
54260,Porphyry,Cenozoic,-22.85357,-69.34511,63.5,other,other,siliciclastic,siliciclastic
54489,Porphyry,Cenozoic,43.0927777778,-111.322777778,50.0,felsic,felsic,siliciclastic,siliciclastic
55427,Porphyry,Cenozoic,-17.0455555556,-70.7072222222,51.0,other,other,volcanic,volcanic
55597,Porphyry,Unknown,-16.5352777778,-71.5916666667,,other,other,metamorphic,metamorphic
55929,Sediment-Hosted,Paleozoic,48.26667,67.3333,300.0,other,other,carbonate,carbonate
56379,VMS,Paleozoic,33.9333333333,133.633333333,360.0,other,other,metamorphic,metamorphic
56760,Magmatic sulfide,Unknown,-23.987938588912,28.904128281476,,mafic,mafic,mafic,mafic
56940,VMS,Unknown,48.293,-2.933,,carbonate,carbonate,other,other
58352,Porphyry,Cenozoic,-18.0416666667,178.175,5.6,mafic,mafic,volcanic,volcanic
58783,VMS,Paleozoic,40.5422222222,-117.556944444,300.0,mafic,mafic,siliciclastic,siliciclastic
59571,Porphyry,Cenozoic,40.6875,-117.083333333,38.0,mafic,mafic,other,other
