Mindat_id,litho_class,age_category,Deposit_type
204813.0,metamorphic,Paleozoic,Sediment-Hosted
204930.0,volcanic,Paleozoic,VMS
204949.0,carbonate,Paleozoic,VMS
205026.0,volcanic,Cenozoic,Porphyry
205449.0,metamorphic,Precambrian,Porphyry
205483.0,volcanic,Precambrian,VMS
205615.0,volcanic,Cenozoic,VMS
205740.0,metamorphic,Cenozoic,Porphyry
205742.0,siliciclastic,Paleozoic,Porphyry
205743.0,mafic,Paleozoic,Porphyry
205749.0,mafic,Cenozoic,Porphyry
205750.0,carbonate,Cenozoic,Porphyry
205760.0,felsic,Mesozoic,Porphyry
205764.0,metamorphic,Precambrian,Porphyry
205766.0,mafic,Cenozoic,Porphyry
205767.0,mafic,Cenozoic,Porphyry
205768.0,mafic,Cenozoic,Porphyry
205769.0,mafic,Cenozoic,Porphyry
205792.0,metamorphic,Cenozoic,Porphyry
205795.0,felsic,Mesozoic,Porphyry
205796.0,felsic,Mesozoic,Porphyry
205797.0,siliciclastic,Mesozoic,Porphyry
205798.0,metamorphic,Mesozoic,Porphyry
205799.0,felsic,Mesozoic,Porphyry
205845.0,siliciclastic,Paleozoic,Porphyry
205846.0,volcanic,Paleozoic,Porphyry
205847.0,felsic,Paleozoic,Porphyry
205849.0,mafic,Precambrian,Porphyry
205854.0,carbonate,Cenozoic,Porphyry
205933.0,volcanic,Cenozoic,Porphyry
205935.0,mafic,Cenozoic,Porphyry
205936.0,volcanic,Cenozoic,Porphyry
205937.0,metamorphic,Cenozoic,Porphyry
205950.0,volcanic,Mesozoic,Porphyry
205978.0,felsic,Mesozoic,Porphyry
205979.0,carbonate,Cenozoic,Porphyry
205982.0,felsic,Paleozoic,Porphyry
205984.0,felsic,Paleozoic,Porphyry
205986.0,volcanic,Mesozoic,Porphyry
205987.0,volcanic,Precambrian,Porphyry
205988.0,volcanic,Cenozoic,Porphyry
205989.0,metamorphic,Cenozoic,Porphyry
205991.0,felsic,Mesozoic,Porphyry
205992.0,felsic,Cenozoic,Porphyry
205993.0,mafic,Cenozoic,Porphyry
205994.0,felsic,Cenozoic,Porphyry
205996.0,felsic,Cenozoic,Porphyry
205998.0,volcanic,Cenozoic,Porphyry
206008.0,volcanic,Cenozoic,Porphyry
206012.0,felsic,Mesozoic,Porphyry
206013.0,volcanic,Cenozoic,Porphyry
206050.0,mafic,Precambrian,VMS
206052.0,metamorphic,Precambrian,VMS
206070.0,felsic,Precambrian,IOCG
206132.0,carbonate,Cenozoic,Porphyry
206136.0,volcanic,Cenozoic,Porphyry
206139.0,carbonate,Cenozoic,Porphyry
206140.0,carbonate,Cenozoic,Porphyry
206141.0,carbonate,Cenozoic,Porphyry
206147.0,siliciclastic,Mesozoic,Porphyry
206148.0,siliciclastic,Cenozoic,Porphyry
206158.0,felsic,Paleozoic,Porphyry
206159.0,felsic,Paleozoic,Porphyry
206160.0,carbonate,Paleozoic,Porphyry
206167.0,volcanic,Paleozoic,Porphyry
206170.0,mafic,Cenozoic,Porphyry
206171.0,mafic,Cenozoic,Porphyry
206172.0,mafic,Cenozoic,Porphyry
206173.0,mafic,Cenozoic,Porphyry
206176.0,siliciclastic,Mesozoic,Porphyry
206212.0,volcanic,Cenozoic,Porphyry
206213.0,metamorphic,Mesozoic,Porphyry
206214.0,metamorphic,Mesozoic,Porphyry
206217.0,metamorphic,Mesozoic,Porphyry
206218.0,volcanic,Mesozoic,Porphyry
206219.0,metamorphic,Cenozoic,Porphyry
206220.0,volcanic,Cenozoic,Porphyry
206293.0,felsic,Cenozoic,Porphyry
206294.0,felsic,Mesozoic,Porphyry
206295.0,felsic,Mesozoic,Porphyry
206299.0,metamorphic,Paleozoic,Porphyry
206300.0,metamorphic,Cenozoic,Porphyry
206301.0,metamorphic,Cenozoic,Porphyry
206303.0,felsic,Cenozoic,Porphyry
206304.0,felsic,Cenozoic,Porphyry
206309.0,volcanic,Cenozoic,Porphyry
206312.0,felsic,Cenozoic,Porphyry
206314.0,felsic,Cenozoic,Porphyry
206315.0,felsic,Cenozoic,Porphyry
206319.0,volcanic,Cenozoic,Porphyry
206323.0,volcanic,Mesozoic,Porphyry
206324.0,volcanic,Mesozoic,Porphyry
206325.0,volcanic,Cenozoic,Porphyry
206326.0,volcanic,Mesozoic,Porphyry
206332.0,metamorphic,Precambrian,Porphyry
206333.0,metamorphic,Precambrian,Porphyry
206377.0,felsic,Precambrian,Porphyry
206378.0,mafic,Precambrian,Porphyry
206380.0,volcanic,Precambrian,Porphyry
206381.0,volcanic,Precambrian,Porphyry
206383.0,felsic,Mesozoic,Porphyry
206384.0,felsic,Mesozoic,Porphyry
206394.0,felsic,Cenozoic,Porphyry
206396.0,volcanic,Mesozoic,Porphyry
206397.0,volcanic,Mesozoic,Porphyry
206398.0,volcanic,Mesozoic,Porphyry
206400.0,felsic,Mesozoic,Porphyry
206402.0,volcanic,Mesozoic,Porphyry
206403.0,volcanic,Mesozoic,Porphyry
206420.0,mafic,Mesozoic,Porphyry
206423.0,volcanic,Mesozoic,Porphyry
206425.0,felsic,Mesozoic,Porphyry
206429.0,volcanic,Mesozoic,Porphyry
206430.0,felsic,Mesozoic,Porphyry
206434.0,volcanic,Mesozoic,Porphyry
206435.0,felsic,Mesozoic,Porphyry
206438.0,felsic,Mesozoic,Porphyry
206439.0,volcanic,Mesozoic,Porphyry
206448.0,volcanic,Mesozoic,Porphyry
206452.0,volcanic,Mesozoic,Porphyry
206453.0,volcanic,Cenozoic,Porphyry
206454.0,volcanic,Mesozoic,Porphyry
206455.0,felsic,Mesozoic,Porphyry
206456.0,felsic,Cenozoic,Porphyry
206458.0,siliciclastic,Cenozoic,Porphyry
206460.0,volcanic,Mesozoic,Porphyry
206462.0,felsic,Mesozoic,Porphyry
206464.0,carbonate,Cenozoic,Porphyry
206467.0,volcanic,Mesozoic,Porphyry
206690.0,mafic,Paleozoic,VMS
206889.0,carbonate,Mesozoic,Porphyry
206890.0,felsic,Mesozoic,Porphyry
206892.0,felsic,Paleozoic,Porphyry
206893.0,felsic,Mesozoic,Porphyry
206895.0,felsic,Mesozoic,Porphyry
206896.0,felsic,Paleozoic,Porphyry
206897.0,felsic,Mesozoic,Porphyry
206898.0,felsic,Mesozoic,Porphyry
206900.0,mafic,Mesozoic,Porphyry
206901.0,mafic,Mesozoic,Porphyry
206902.0,felsic,Paleozoic,Porphyry
206903.0,carbonate,Paleozoic,Porphyry
206946.0,volcanic,Cenozoic,Porphyry
206948.0,volcanic,Cenozoic,Porphyry
206951.0,volcanic,Cenozoic,Porphyry
206952.0,volcanic,Cenozoic,Porphyry
206953.0,volcanic,Cenozoic,Porphyry
206956.0,volcanic,Cenozoic,Porphyry
206957.0,volcanic,Cenozoic,Porphyry
207166.0,mafic,Cenozoic,Porphyry
207167.0,mafic,Cenozoic,Porphyry
207181.0,volcanic,Cenozoic,Porphyry
207309.0,felsic,Cenozoic,Porphyry
207310.0,felsic,Cenozoic,Porphyry
207312.0,carbonate,Cenozoic,Porphyry
207316.0,volcanic,Cenozoic,Porphyry
207317.0,felsic,Cenozoic,Porphyry
207910.0,volcanic,Precambrian,VMS
207911.0,metamorphic,Precambrian,VMS
208271.0,volcanic,Paleozoic,Porphyry
208276.0,felsic,Paleozoic,Porphyry
208279.0,felsic,Paleozoic,Porphyry
208330.0,metamorphic,Cenozoic,Porphyry
208331.0,metamorphic,Cenozoic,Porphyry
208332.0,volcanic,Mesozoic,Porphyry
208334.0,felsic,Paleozoic,Porphyry
208335.0,felsic,Paleozoic,Porphyry
208339.0,volcanic,Paleozoic,Porphyry
208341.0,volcanic,Paleozoic,Porphyry
208343.0,felsic,Cenozoic,Porphyry
208390.0,felsic,Paleozoic,Porphyry
208391.0,volcanic,Paleozoic,Porphyry
208392.0,metamorphic,Paleozoic,Porphyry
208397.0,felsic,Paleozoic,Porphyry
208474.0,volcanic,Cenozoic,Porphyry
208475.0,mafic,Cenozoic,Porphyry
208477.0,felsic,Precambrian,Porphyry
208932.0,volcanic,Cenozoic,Porphyry
209445.0,mafic,Precambrian,VMS
209868.0,felsic,Precambrian,IOCG
209909.0,volcanic,Precambrian,VMS
210060.0,felsic,Paleozoic,Porphyry
210265.0,volcanic,Precambrian,VMS
210332.0,felsic,Precambrian,Magmatic sulfide
210493.0,felsic,Precambrian,IOCG
212179.0,volcanic,Cenozoic,VMS
212605.0,carbonate,Paleozoic,Sediment-Hosted
212969.0,metamorphic,Precambrian,Sediment-Hosted
212971.0,volcanic,Precambrian,Sediment-Hosted
214669.0,volcanic,Paleozoic,VMS
214670.0,carbonate,Paleozoic,VMS
214679.0,carbonate,Paleozoic,VMS
217008.0,siliciclastic,Paleozoic,VMS
217330.0,volcanic,Cenozoic,VMS
217350.0,volcanic,Cenozoic,VMS
222130.0,mafic,Mesozoic,VMS
225030.0,volcanic,Precambrian,Magmatic sulfide
226441.0,carbonate,Precambrian,Sediment-Hosted
226455.0,carbonate,Precambrian,Sediment-Hosted
226456.0,carbonate,Precambrian,Sediment-Hosted
226488.0,carbonate,Precambrian,Sediment-Hosted
226501.0,carbonate,Precambrian,Sediment-Hosted
227886.0,mafic,Paleozoic,Porphyry
227904.0,felsic,Paleozoic,Porphyry
227973.0,felsic,Mesozoic,Porphyry
227974.0,felsic,Cenozoic,Porphyry
227976.0,volcanic,Mesozoic,Porphyry
227979.0,mafic,Mesozoic,Porphyry
228007.0,felsic,Mesozoic,Porphyry
228008.0,felsic,Cenozoic,Porphyry
228021.0,volcanic,Cenozoic,Porphyry
228022.0,volcanic,Cenozoic,Porphyry
228029.0,mafic,Cenozoic,Porphyry
228031.0,felsic,Cenozoic,Porphyry
228045.0,volcanic,Mesozoic,Porphyry
228046.0,felsic,Mesozoic,Porphyry
228053.0,metamorphic,Paleozoic,Porphyry
228088.0,felsic,Cenozoic,Porphyry
228106.0,mafic,Paleozoic,Porphyry
228123.0,volcanic,Mesozoic,Porphyry
228124.0,siliciclastic,Mesozoic,Porphyry
228128.0,volcanic,Mesozoic,Porphyry
228131.0,felsic,Mesozoic,Porphyry
228182.0,volcanic,Precambrian,Sediment-Hosted
228191.0,metamorphic,Mesozoic,Sediment-Hosted
228255.0,metamorphic,Precambrian,Sediment-Hosted
228257.0,volcanic,Precambrian,Sediment-Hosted
228261.0,metamorphic,Precambrian,Sediment-Hosted
228263.0,volcanic,Precambrian,Sediment-Hosted
228264.0,volcanic,Precambrian,Sediment-Hosted
228282.0,carbonate,Precambrian,Sediment-Hosted
228308.0,carbonate,Paleozoic,Sediment-Hosted
228326.0,siliciclastic,Mesozoic,Sediment-Hosted
228328.0,metamorphic,Precambrian,Sediment-Hosted
228361.0,mafic,Precambrian,Sediment-Hosted
228363.0,mafic,Mesozoic,Sediment-Hosted
230048.0,carbonate,Paleozoic,VMS
