Mindat_id,litho_class,age_category,Deposit_type
205760.0,felsic,Mesozoic,Porphyry
205764.0,metamorphic,Precambrian,Porphyry
205766.0,mafic,Cenozoic,Porphyry
205767.0,mafic,Cenozoic,Porphyry
205768.0,mafic,Cenozoic,Porphyry
205769.0,mafic,Cenozoic,Porphyry
205773.0,mafic,Unknown,Porphyry
205785.0,mafic,Unknown,Porphyry
205792.0,metamorphic,Cenozoic,Porphyry
205795.0,felsic,Mesozoic,Porphyry
205796.0,felsic,Mesozoic,Porphyry
205797.0,siliciclastic,Mesozoic,Porphyry
205798.0,metamorphic,Mesozoic,Porphyry
205799.0,felsic,Mesozoic,Porphyry
205845.0,siliciclastic,Paleozoic,Porphyry
205846.0,volcanic,Paleozoic,Porphyry
205847.0,felsic,Paleozoic,Porphyry
205849.0,mafic,Precambrian,Porphyry
205854.0,carbonate,Cenozoic,Porphyry
205932.0,volcanic,Unknown,Porphyry
205933.0,volcanic,Cenozoic,Porphyry
205935.0,mafic,Cenozoic,Porphyry
205936.0,volcanic,Cenozoic,Porphyry
205937.0,metamorphic,Cenozoic,Porphyry
205938.0,carbonate,Unknown,Porphyry
205939.0,volcanic,Unknown,Porphyry
205950.0,volcanic,Mesozoic,Porphyry
205951.0,felsic,Unknown,Porphyry
205978.0,felsic,Mesozoic,Porphyry
205979.0,carbonate,Cenozoic,Porphyry
205982.0,felsic,Paleozoic,Porphyry
205984.0,felsic,Paleozoic,Porphyry
205986.0,volcanic,Mesozoic,Porphyry
205987.0,volcanic,Precambrian,Porphyry
205988.0,volcanic,Cenozoic,Porphyry
205989.0,metamorphic,Cenozoic,Porphyry
205991.0,felsic,Mesozoic,Porphyry
205992.0,felsic,Cenozoic,Porphyry
205993.0,mafic,Cenozoic,Porphyry
205994.0,felsic,Cenozoic,Porphyry
205996.0,felsic,Cenozoic,Porphyry
205998.0,volcanic,Cenozoic,Porphyry
206008.0,volcanic,Cenozoic,Porphyry
206012.0,felsic,Mesozoic,Porphyry
206013.0,volcanic,Cenozoic,Porphyry
206050.0,mafic,Precambrian,VMS
206052.0,metamorphic,Precambrian,VMS
206070.0,felsic,Precambrian,IOCG
206132.0,carbonate,Cenozoic,Porphyry
206134.0,carbonate,Unknown,Porphyry
206136.0,volcanic,Cenozoic,Porphyry
206137.0,metamorphic,Unknown,Porphyry
206139.0,carbonate,Cenozoic,Porphyry
206140.0,carbonate,Cenozoic,Porphyry
206141.0,carbonate,Cenozoic,Porphyry
206143.0,carbonate,Unknown,Porphyry
206147.0,siliciclastic,Mesozoic,Porphyry
206148.0,siliciclastic,Cenozoic,Porphyry
206158.0,felsic,Paleozoic,Porphyry
206159.0,felsic,Paleozoic,Porphyry
206160.0,carbonate,Paleozoic,Porphyry
206167.0,volcanic,Paleozoic,Porphyry
206170.0,mafic,Cenozoic,Porphyry
206171.0,mafic,Cenozoic,Porphyry
206172.0,mafic,Cenozoic,Porphyry
206173.0,mafic,Cenozoic,Porphyry
206176.0,siliciclastic,Mesozoic,Porphyry
206180.0,mafic,Unknown,Porphyry
206212.0,volcanic,Cenozoic,Porphyry
206213.0,metamorphic,Mesozoic,Porphyry
206214.0,metamorphic,Mesozoic,Porphyry
206217.0,metamorphic,Mesozoic,Porphyry
206218.0,volcanic,Mesozoic,Porphyry
206219.0,metamorphic,Cenozoic,Porphyry
206220.0,volcanic,Cenozoic,Porphyry
206222.0,felsic,Unknown,Porphyry
206293.0,felsic,Cenozoic,Porphyry
206294.0,felsic,Mesozoic,Porphyry
206295.0,felsic,Mesozoic,Porphyry
206299.0,metamorphic,Paleozoic,Porphyry
206300.0,metamorphic,Cenozoic,Porphyry
206301.0,metamorphic,Cenozoic,Porphyry
206303.0,felsic,Cenozoic,Porphyry
206304.0,felsic,Cenozoic,Porphyry
206308.0,volcanic,Unknown,Porphyry
206309.0,volcanic,Cenozoic,Porphyry
206311.0,felsic,Unknown,Porphyry
206312.0,felsic,Cenozoic,Porphyry
206314.0,felsic,Cenozoic,Porphyry
206315.0,felsic,Cenozoic,Porphyry
206319.0,volcanic,Cenozoic,Porphyry
206323.0,volcanic,Mesozoic,Porphyry
206324.0,volcanic,Mesozoic,Porphyry
206325.0,volcanic,Cenozoic,Porphyry
206326.0,volcanic,Mesozoic,Porphyry
206328.0,mafic,Unknown,Porphyry
206331.0,felsic,Unknown,Porphyry
206332.0,metamorphic,Precambrian,Porphyry
206333.0,metamorphic,Precambrian,Porphyry
206377.0,felsic,Precambrian,Porphyry
206378.0,mafic,Precambrian,Porphyry
206380.0,volcanic,Precambrian,Porphyry
206381.0,volcanic,Precambrian,Porphyry
206382.0,felsic,Unknown,Porphyry
206383.0,felsic,Mesozoic,Porphyry
206384.0,felsic,Mesozoic,Porphyry
206394.0,felsic,Cenozoic,Porphyry
206395.0,volcanic,Unknown,Porphyry
206396.0,volcanic,Mesozoic,Porphyry
206397.0,volcanic,Mesozoic,Porphyry
206398.0,volcanic,Mesozoic,Porphyry
206399.0,mafic,Unknown,Porphyry
206400.0,felsic,Mesozoic,Porphyry
206402.0,volcanic,Mesozoic,Porphyry
206403.0,volcanic,Mesozoic,Porphyry
206419.0,felsic,Unknown,Porphyry
206420.0,mafic,Mesozoic,Porphyry
206423.0,volcanic,Mesozoic,Porphyry
206425.0,felsic,Mesozoic,Porphyry
206428.0,volcanic,Unknown,Porphyry
206429.0,volcanic,Mesozoic,Porphyry
206430.0,felsic,Mesozoic,Porphyry
206434.0,volcanic,Mesozoic,Porphyry
206435.0,felsic,Mesozoic,Porphyry
206436.0,felsic,Unknown,Porphyry
206437.0,felsic,Unknown,Porphyry
206438.0,felsic,Mesozoic,Porphyry
206439.0,volcanic,Mesozoic,Porphyry
206448.0,volcanic,Mesozoic,Porphyry
206451.0,volcanic,Unknown,Porphyry
206452.0,volcanic,Mesozoic,Porphyry
206453.0,volcanic,Cenozoic,Porphyry
206454.0,volcanic,Mesozoic,Porphyry
206455.0,felsic,Mesozoic,Porphyry
206456.0,felsic,Cenozoic,Porphyry
206458.0,siliciclastic,Cenozoic,Porphyry
206459.0,felsic,Unknown,Porphyry
206460.0,volcanic,Mesozoic,Porphyry
206462.0,felsic,Mesozoic,Porphyry
206464.0,carbonate,Cenozoic,Porphyry
206465.0,felsic,Unknown,Porphyry
